,,,,,
SENARAI BALAI BOMBA DAN PENYELAMAT DI SELURUH MALAYSIA,,,,,
,,,,,
Bil ,Negeri,Zon,Balai,Alamat ,Perhubungan 
243 ,Sarawak ,Zon Bintulu ,BBP Samalaju ,"Bintulu 97000, Sarawak",Tel:
,,,,,Fax:
,,,,,Email:  
244 ,Sarawak ,Zon Bintulu ,BBP Tatau ,"D/A Balai Bomba dan Penyelamat Tatau, KM 54, Jalan Bintulu - Sibu Tatau 97200, Sarawak",Tel:086-311052
,,,,,Fax:086-333394
,,,,,Email:  bbp.tatau@bomba.gov.my
245 ,Sarawak ,Zon Miri ,BBP Miri ,"Jalan Miri-Pujut,  Miri 98000, Sarawak ",Tel:085-420991
,,,,,Fax:085-417059
,,,,,Email: bbp-miri.bomba@1govuc.gov.my 
246 ,Sarawak ,Zon Miri ,BBP Lopeng ,"Jalan Miri By Pass, Miri 98000, Sarawak ",Tel:085420972
,,,,,Fax:085-425973 / 085 - 424144( O )
,,,,,Email: bbp-lopeng.bomba@1govuc.gov.my 
247 ,Sarawak ,Zon Miri ,BBP Marudi ,"Marudi 98050, Sarawak ",Tel:085-755189
,,,,,Fax:085-755177
,,,,,Email: bbp-marudi.bomba@1govuc.gov.my 
248 ,Sarawak ,Zon Limbang ,BBP Limbang ,"Jalan Muhibbah, Limbang 98700, Sarawak",Tel:085-211859
,,,,,Fax:085-214773
,,,,,Email: bbp_limbang@bomba.gov.my
249 ,Sarawak ,Zon Limbang ,BBP Lawas ,"Jalan Gaya, Lawas 98850, Sarawak",Tel:085-284962
,,,,,Fax:085-284189
,,,,,Email: bbp-lawas.bomba@1govuc.gov.my 
250 ,WP Labuan ,- ,BBP Labuan ,"Jalan Tun Mustapha Peti Surat 81301, 87023 WP Labuan ",Tel:087-592952
,,,,,Fax:087-428015
,,,,,Email: kbbtm_wplab@bomba.gov.my 
251 ,WP Labuan ,- ,BBP Kg Jawa ,"Jalan Kampung Jawa Peti Surat 81301, 87023 WP Labuan ",Tel:087-414444
,,,,,Fax:087-428022
,,,,,Email: kbbbj_wplab@bomba.gov.my 
252 ,WP Labuan ,- ,BBP Layangan ,"Jalan Mohd Salleh Peti Surat 81301, 87023 WP Labuan ",Tel:087-464444
,,,,,Fax:087-468922
,,,,,Email: Kbbbl_wplab@bomba.gov.my  
253 ,Sabah ,Zon Kota Kinabalu ,BBP Kota Kinabalu ,"Beg Berkunci 2045, Kota Kinabalu 88648, Sabah ",Tel:088-210214
,,,,,Fax:088-223994
,,,,,Email: ketuabkk@bomba.gov.my 
254 ,Sabah ,Zon Kota Kinabalu ,BBP Lintas ,"Jalan Lintas, Likas P.O. Box 30, Kota Kinabalu 88990, Sabah ",Tel:088-422873
,,,,,Fax:088422713
,,,,,Email: bbp_lintas@bomba.gov.my
255 ,Sabah ,Zon Kota Kinabalu ,BBP Penampang ,"Peti Surat 550, Penampang Kota Kinabalu 89507, Sabah 


",Tel:088-715446
,,,,,Fax:088-727934
,,,,,Email: ketuabppg@bomba.gov.my
256 ,Sabah ,Zon Kota Kinabalu ,BBP Tuaran ,"Peti Surat 868 Tuaran 89207, Sabah ",Tel:088-793791
,,,,,Fax:088-792411
,,,,,Email: ketuabtuaran@bomba.gov.my 
257 ,Sabah ,Zon Kudat ,BBP Kudat ,"Peti Surat 279, Kudat 89058, Sabah ",Tel:088-611301
,,,,,Fax:088-613414
,,,,,Email: ketuabkudat.bomba@1govuc.gov.my 
258 ,Sabah ,Zon Kudat ,BBP Ranau ,"Beg Berkunci No.3 Ranau 89300, Sabah ",Tel:088-878779
,,,,,Fax:088-875771
,,,,,Email: ketuabranau@bomba.gov.my 
259 ,Sabah ,Zon Kudat ,BBP Kota Belud ,"Peti Surat, 168 Kota Belud 89158, Sabah ",Tel:088-976504
,,,,,Fax:088-977845
,,,,,Email: ketuabkb@bomba.gov.my 
260 ,Sabah ,Zon Kudat ,BBP Kota Marudu ,"Peti Surat 386 Kota Marudu 89108, Sabah ",Tel:088-662889
,,,,,Fax:088-662939
,,,,,Email: bbp-kmarudu.bomba@1govuc.gov.my 
261 ,Sabah ,Zon Beaufort ,BBP Sipitang ,"P/s 480, Sipitang 89850, Sabah ",Tel:087-821444 / 822444
,,,,,Fax:087-821721
,,,,,Email: bbp-sipitang.bomba@1govuc.gov.my 
262 ,Sabah ,Zon Beaufort ,BBP Beaufort ,"W.D.T 01 89809, Sabah ",Tel:087-212025
,,,,,Fax:087-214339
,,,,,Email: ketuabbft.bomba@1govuc.gov.my 
263 ,Sabah ,Zon Beaufort ,BBP Papar ,"W.D.T Bil 5 Papar 89609, Sabah ",Tel:088-913521
,,,,,Fax:088-913609
,,,,,Email: ketuabpapar@bomba.gov.my 
264 ,Sabah ,Zon Beaufort ,BBP Kuala Penyu ,"Kuala Penyu 89747, Sabah ",Tel:087-884221
,,,,,Fax:087-884225
,,,,,Email: ketuabkp.bomba@1govuc.gov.my 
265 ,Sabah ,Zon Tawau ,BBP Tawau ,"Jalan Kelapa, Peti Surat Bil 782, Tawau 91008, Sabah ",Tel:089-774444
,,,,,Fax:089-777444
,,,,,Email: ketuabtawau@bomba.gov.my 
266 ,Sabah ,Zon Tawau ,BBP Kunak ,"Jalan Bagiang Kunak 91207, Sabah ",Tel:089-853444
,,,,,Fax:089-853145
,,,,,Email: ketuabkunak@bomba.gov.my 
267 ,Sabah ,Zon Tawau ,BBP Semporna ,"Peti Surat Bil 76, Semporna 91307, Sabah",Tel:088-781699
,,,,,Fax:089-781548
,,,,,Email: ketuabspn@bomba.gov.my 
268 ,Sabah ,Zon Tawau ,BBP Lahad Datu ,"Jalan Tengah Nipah, Peti Surat 60994, Lahad Datu 91118, Sabah ",Tel:088-881443/ 884444
,,,,,Fax:089-884244
,,,,,Email: ketuabld.bomba@1govuc.gov.my 
269 ,Sabah ,Zon Sandakan ,BBP Sandakan ,"Batu Tiga, Jalan Utara, Peti Surat 1465, Sandakan 90716, Sabah ",Tel:089-214444/214144
,,,,,Fax:089-213196
,,,,,Email: ketuabsdk@bomba.gov.my 
270 ,Sabah ,Zon Sandakan ,BBP Kinabatangan ,"Jalan Datuk Hj Malik Chua, Kota Kinabatangan 90200, Sabah ",Tel:089-562630/089-6310
,,,,,Fax:089-562632
,,,,,Email: ketuabkbtgn@bomba.gov.my 
271 ,Sabah ,Zon Keningau ,BBP Keningau ,"Peti Surat 196 Keningau 89008, Sabah ",Tel:087-331396
,,,,,Fax:087-336402
,,,,,Email: ketuabkgu.bomba@1govuc.gov.my 
272 ,Sabah ,Zon Keningau ,BBP Tambunan ,"Peti surat 334, Tambunan 89650, Sabah ",Tel:087-774850
,,,,,Fax:087-774085
,,,,,Email: ketuabtbn.bomba@1govuc.gov.my 
273 ,Sabah ,Zon Keningau ,BBP Tenom ,"Peti Surat, 103 89907, Sabah ",Tel:087-735646
,,,,,Fax:087-735670
,,,,,Email: ketuabtenom@bomba.gov.my 
