Case Number,Proceeding ID,Reserved Price (RM),Number of Properties in Auction,Auction Date/Time,Number of Auction,Deposit (Refundable),Address,Lot Number,Parcel Number,Storey Number,Building Number,State,Mukim,District,Coordinate GPS,Property Type,Land Title,Tenure,Built Up (Sf),Land Size (ft²),Land Size (m²),Reserved Area (Malay Reserve/Lot Bumi),Caveat,link,Document,Land Size (acre),Land Size (hectare)
CA-38-6-01/2024,4759be85-403e-4ce2-bee8-de66c0b99664," RM 166,500.00",1,"18/03/2024, 09",1,"RM 16,650.00","NO. 25, JALAN AMAN JAYA 3, TAMAN AMAN JAYA, 26800, ROMPIN, Pahang",LOT 3359,,N/A,N/A,Pahang,ROMPIN,ROMPIN,,Terrace,Building,Freehold,970,"1,206.000000",112.000000,,,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45808,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=263be4d7-18aa-4a5e-b8a4-361fe6f25b98&Inline=true,,
CA-38-7-01/2024,61ec13c3-59c4-4a86-95ca-ec21f95f3143," RM 153,000.00",1,"18/03/2024, 09",1,"RM 15,300.00","No. 42, Lorong Cendor Aman 20, Perkampungan Cendor Aman, 26080, Kuantan, Pahang",Lot 15080,,N/A,N/A,Pahang,Sungai Karang,Kuantan,,Terrace,Building,Freehold,0,"1,711.460000",159.000000,Dalam kawasan Rezab Melayu,,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45809,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=5b22ecdd-af50-487b-809c-5bbc27fc5ca4&Inline=true,,
CA-38-8-01/2024,dc763038-5da3-4937-a974-2dc16e5073a2," RM 526,500.00",1,"18/03/2024, 09",1,"RM 52,650.00","No. 2, Lorong IM 12/8, Taman Astana Permai, Bandar Indera Mahkota, 25200, Kuantan, Pahang",Lot 116784,,N/A,N/A,Pahang,Kuala Kuantan,Kuantan,,Semi-Detached,Building,Leasehold,0,"5,716.000000",531.000000,,,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45810,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=b09ed530-7190-4c23-b23b-15386395e614&Inline=true,,
CA-38-9-01/2024,d9198de7-9096-4db1-8f8d-3504eb9f2381," RM 315,000.00",1,"18/03/2024, 09",1,"RM 31,500.00","No. B-3072, Lorong Galing 32, Taman Tunas Jaya Phase IV, 25300, Kuantan, Pahang",LOT 20721,,N/A,N/A,Pahang,Kuala Kuantan,Kuantan,,Terrace,Building,Freehold,0,"1,647.000000",153.000000,,,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45811,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=b563e5eb-8943-4945-b869-0c6e4751f05c&Inline=true,,
CB-38-211-12/2023,e713bf0c-f66b-4054-ade7-7e121c26f269," RM 113,400.00",1,"18/03/2024, 09",1,"RM 11,340.00","K-35, Lorong Mawar Murni 5, Taman Mawar Murni, 27000, Jerantut, Pahang",K-35,N/A,N/A,N/A,Pahang,Pedah,Jerantut,,Terrace,Building,Freehold,0,"1,385.000000",128.700000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45354,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=f251f607-f2af-4bd2-b41d-b1f0e5d5db09&Inline=true,,
BA-38-1866-09/2023,c2993b9d-35ee-4053-a77a-521fdc2a88dd," RM 324,000.00",1,"18/03/2024, 09",1,"RM 32,400.00","NO. 20, JALAN TAWAS IMPIANA 1, ANJUNG TAWAS IMPIANA, 30100, IPOH, Perak",PT 227525,N/A,N/A,N/A,Perak,HULU KINTA,KINTA,,Terrace,Building,Freehold,"1,647","1,647.000000",153.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45815,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=55ea1e67-fa5a-4534-a0be-5e3c0b71d171&Inline=true,,
BA-38-1153-06/2023,28b8fc13-b1bb-4d6c-8143-4165941da95d," RM 747,000.00",1,"18/03/2024, 09",1,"RM 74,700.00","No.17, Jalan Setia Damai U13/15D, Seksyen U13, 40170, Shah Alam, Selangor",Lot No. 23576,N/A,N/A,N/A,Selangor,Bukit Raja,Petaling,,Terrace,Residential,Freehold,154,"1,679.000000",156.000000,N/A,"1. Kaveat Persendirian atas Tanah No Perserahan 36698/2017 oleh Alliance Bank Malaysia Berhad didaftar pada Ogos 11, 2017.2. Kaveat Persendirian atas Tanah No Perserahan 25664/2021 oleh Finsource Solution Sdn Bhd didaftar pada Julai 23, 2021.",https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43372,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=013f0176-b084-4013-b29d-bf597d10608d&Inline=true,,
BA-38-1191-06/2023,148ce7ad-63d3-4306-a9d5-7e7a49918bde," RM 600,000.00",1,"18/03/2024, 09",1,"RM 60,000.00","No. 25, Jalan SL 12/2, Bandar Sungai Long, 43000, Kajang, Selangor",PT 57091,N/A,N/A,N/A,Selangor,Mukim Cheras,Ulu Langat,,Terrace,Building,Leasehold,0,"1,432.000000",133.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45483,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=ca0b0743-efc6-4f0d-864e-614e7e81177a&Inline=true,,
BA-38-1435-07/2023,c055ed53-8648-4c4e-a9b2-1fc85404b560," RM 550,000.00",1,"18/03/2024, 09",1,"RM 55,000.00","11A, Jalan Jurang 8/19, Seksyen 8, 40000, SHAH ALAM, Selangor",PT 1276 Seksyen 8,N/A,N/A,N/A,Selangor,Bandar Shah Alam,Petaling,,Terrace,Residential,Leasehold,0,"1,496.000000",139.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44302,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=f1294387-ef31-4892-be1d-19d326b6d930&Inline=true,,
BA-38-1810-09/2023,e2746b63-b531-4e92-9ab5-2cdcd6243b2e," RM 540,000.00",1,"18/03/2024, 09",1,"RM 54,000.00","No. 38, Jalan Taming Kiri 2, Taman Taming Jaya, 43200, Cheras (43300 Balakong), Selangor",Lot 42174,N/A,N/A,N/A,Selangor,Pekan Kajang,Ulu Langat,,Terrace,Residential,Freehold,0,"1,539.000000",143.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44482,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=5c05cae9-9eec-402b-906a-e894991a7bf6&Inline=true,,
BA-38-1822-09/2023,bf7331e3-16df-4f5a-8517-6a04b8640b68," RM 897,480.00",1,"18/03/2024, 09",1,"RM 89,748.00","NO. 33, JALAN EDEN PERMAI 1/2, TAMAN SERDANG HEIGHTS SEKSYEN 4, 43300, SERI KEMBANGAN, Selangor",PT 77258,N/A,N/A,N/A,Selangor,MUKIM PETALING,DAERAH PETALING,,Terrace,Building,Freehold,0,"1,399.310000",130.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45355,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=ebf3cb48-354a-4c7c-9393-1818934cc0a0&Inline=true,,
BA-38-1831-09/2023,1fcc7f51-80a3-4387-8a00-d03d97454349," RM 260,000.00",1,"18/03/2024, 09",1,"RM 26,000.00","NO. 42, -, -, JALAN BAKWALI 2A/5, PERUMAHAN JALAN BAKAWALI, 48300, RAWANG, Selangor",LOT 15206,-,-,-,Selangor,SERENDAH,ULU SELANGOR,-,Terrace,Building,Freehold,"1,076","1,076.390000",100.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45484,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=08f2a940-e7be-44b6-8c41-f86138d8cbde&Inline=true,,
BA-38-1833-09/2023,4ef26b22-620c-4f3a-85b0-5414f8f1088b," RM 1,485,000.00",1,"18/03/2024, 09",1,"RM 148,500.00","No. 10, Block A, Jalan Heliconia, Pusat Perniagaan Heliconia Auto City, 48000, Rawang, Selangor",PT 20573,N/A,N/A,N/A,Selangor,MUKIM SERENDAH,HULU SELANGOR,,Factory,Commercial,Freehold,0,"1,575.000000",146.330000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45401,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=31e54758-4b81-4836-ae5f-db4c347c49cb&Inline=true,,
BA-38-1837-09/2023,65392b43-f7ab-48c5-bdcd-3ec96c364aac," RM 1,507,572.00",1,"18/03/2024, 09",1,"RM 150,757.20","NO. 3, JALAN KOTA U8/102D, JELUTONG HEIGHTS, SEKSYEN U8 BUKIT JELUTONG, 40150, SHAH ALAM, Selangor",81229,N/A,N/A,N/A,Selangor,DAMANSARA,PETALING,,Semi-Detached,Building,Freehold,0,"3,918.000000",364.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45812,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=dce6eac6-6390-4e20-b25d-93d488dd0987&Inline=true,,
BA-38-1838-09/2023,57eebb4d-b210-4b2b-8cf9-a19cf639bb63," RM 692,550.00",1,"18/03/2024, 09",1,"RM 69,255.00","No. 51, Jalan Rodat 10/KU5, Bandar Bukit Raja, 41050, Klang, Selangor",Lot 47281,N/A,N/A,N/A,Selangor,Kapar,Klang,,Terrace,Building,Freehold,0,"1,647.000000",153.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45485,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=caa58389-849b-47bf-b26e-4a843c372558&Inline=true,,
BA-38-1841-09/2023,08b20fc2-3c05-47ca-b200-6abe23710d3c," RM 410,000.00",1,"18/03/2024, 09",1,"RM 41,000.00","No. 15, Jalan Mahagoni 3A/3, Seksyen 4, Bandar Utama Batang Kali, 44300, Batang Kali, Selangor",Lot 23428,N/A,N/A,N/A,Selangor,Batang Kali,Ulu Selangor,,Cluster,Building,Freehold,"2,200","2,200.000000",204.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45488,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=1f9b3949-bf95-49e8-8479-ba0a4e6ece92&Inline=true,,
BA-38-1846-09/2023,bff04191-d846-4893-80b6-32b266ee9bc1," RM 260,000.00",1,"18/03/2024, 09",1,"RM 26,000.00","NO. 9, JALAN TELADAN 25/22, TAMAN SRI MUDA, SEKSYEN 25, 40400, SHAH ALAM, Selangor",PT 8241(dahulunya dikenali sebagai Lot 30530),N/A,N/A,N/A,Selangor,KLANG,KLANG,,Terrace,Building,Freehold,840,840.000000,78.040000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45813,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=8f62f1ec-6ec5-408d-84d2-c21486b7ce13&Inline=true,,
BA-38-1848-09/2023,1ade5602-1ca5-4f02-a2c7-617953b6d52f," RM 243,000.00",1,"18/03/2024, 09",1,"RM 24,300.00","Unit No. A-12-05, Pangsapuri Danau Perintis, Persiaran Puncak Alam 12, 42300, Bandar Puncak Alam, Selangor",No. Lot 28966,199,13,"No. Bangunan M1, Pet",Selangor,Jeram,Kuala Selangor,,Apartment,Residential,Leasehold,83,893.000000,83.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45492,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=24055a97-99ed-44de-8bab-fd58b2c6d1ab&Inline=true,,
BA-38-1857-09/2023,caa7ba0f-7fc8-4f47-a3e3-b7f510487e3f," RM 820,000.00",1,"18/03/2024, 09",1,"RM 82,000.00","NO 12, JALAN BSC 1C/2, PRESINT 1 BANDAR SERI COALFIELDS, 47000, SUNGAI BULOH, Selangor",PT NO. 26982,N/A,N/A,N/A,Selangor,MUKIM IJOK,KUALA SELANGOR,,Semi-Detached,Building,Freehold,0,"3,800.000000",353.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45814,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=38a3a5ab-41fa-4ca3-8fe1-d2438f8cec60&Inline=true,,
BA-38-1863-09/2023,9c0d1bd1-57e0-4f3c-991f-ed59d76c62ff," RM 2,099,520.00",1,"18/03/2024, 09",1,"RM 209,952.00","LOT 127, KG MELAYU SG BULOH, 47000, SUNGAI BULOH, Selangor",PT 1982,N/A,N/A,N/A,Selangor,Bandar Sungai Buloh,Gombak,,Semi-Detached,Agriculture,Leasehold,0,"77,272.000000","7,178.850000",N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45535,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=efaba31f-32a2-4f21-914f-3be418a70622&Inline=true,,
BA-38-1868-09/2023,54c499be-f9f6-40e2-9cb4-eff62e0b0bf7," RM 612,000.00",1,"18/03/2024, 09",1,"RM 61,200.00","No. 48, Jalan UB 13, Taman Ukay Bistari, 68000, Ampang, Selangor",PT 1736,N/A,N/A,N/A,Selangor,Bandar Ulu Kelang,Gombak,,Terrace,Building,Leasehold,0,"1,400.000000",130.060000,N/A,BANK ISLAM MALAYSIA BERHAD,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45495,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=a3346d21-50e4-4777-86d9-7ff2dbdc564d&Inline=true,,
BA-38-1888-09/2023,06d77553-4005-46d8-9cb6-313f7e4a97b2," RM 460,000.00",1,"18/03/2024, 09",1,"RM 46,000.00","No. 41, Jalan Mutiara 6/5, Taman Selayang Mutiara, 68100, Batu Caves, Selangor",PT 10935,N/A,N/A,N/A,Selangor,Bandar Selayang,Gombak,,Semi-Detached,Building,Leasehold,"2,196","2,196.000000",205.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45496,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=ad29791e-6e71-456f-abb2-70ad6907cef2&Inline=true,,
BA-38-1981-10/2023,3cc7fb70-bfad-4d9a-826d-4651cb6eacbe," RM 440,000.00",1,"18/03/2024, 09",1,"RM 44,000.00","No. 1, Jalan Jasa Satu 25/27A, Taman Sri Muda, Seksyen 25, 40400, Shah Alam, Selangor",PT No. 8570,N/A,N/A,N/A,Selangor,Klang,Klang,,Terrace,Building,Freehold,932,"2,377.000000",220.800000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44484,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=7b72bb0b-c665-4361-84b5-55cc54aad0b7&Inline=true,,
BA-38-2054-10/2023,589462b7-e91f-4cbb-b1fb-5f90b9883ab6," RM 750,000.00",1,"18/03/2024, 09",1,"RM 75,000.00","No. 25,, Jalan Tiung Batu 6/10A, Seksyen 6, 40000, Shah Alam, Selangor",PT 469 Seksyen 6,N/A,N/A,N/A,Selangor,Bandar Shah Alam,Petaling,,Terrace,Building,Leasehold,0,"1,560.000000",145.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45561,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=fd7b086f-1f25-4ac7-a23b-4797de021e56&Inline=true,,
BA-38-2246-11/2023,9683c0ab-418f-420d-b249-6aacf4a107a1," RM 900,000.00",1,"18/03/2024, 09",1,"RM 90,000.00","No. 42, Jalan BM 7/7, Seksyen 7, Bandar Bukit Mahkota, Beranang, 43000, Kajang, Selangor",Lot 5357,N/A,N/A,N/A,Selangor,Beranang,Ulu Langat,,Detached-House,Building,Freehold,"7,998","7,998.000000",743.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44303,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=cc842f23-9200-4bbd-b3ae-f0180cf18c43&Inline=true,,
BA-38-2260-11/2023,8f3bc393-7c89-41ec-a80f-129056f90883," RM 135,000.00",1,"18/03/2024, 09",1,"RM 13,500.00","NO.42 (PT 24480), JALAN IDAMAN 10A/KS05, KAMPUNG IDAMAN, 40000, PERLABUHAN KLANG, Selangor",PT 24480,N/A,N/A,N/A,Selangor,Mukim Klang,Klang,,Terrace,Building,Freehold,0,"1,313.000000",122.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45540,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=e9eb94b0-b604-4f4d-a9dd-d2d229f8a640&Inline=true,,
BA-38-2331-11/2023,93c3a293-6da2-44d7-b9ed-96a5e47e6066," RM 2,435,450.00",1,"18/03/2024, 09",1,"RM 243,545.00","No. 7, Jalan SS 19/2, SS 19, 47500, Subang Jaya, Selangor",PT 4537,N/A,N/A,N/A,Selangor,Damansara,Petaling,,Detached-House,Building,Freehold,0,"8,740.000000",812.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45582,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=ac3451de-4e1f-45ca-a4e7-4a4d0579352c&Inline=true,,
BA-38-2338-11/2023,cebd9533-43c5-4e95-aa1d-820a03fe7314," RM 1,296,000.00",1,"18/03/2024, 09",1,"RM 129,600.00","10, JALAN NOVA U5/92, SEKSYEN U5, 40150, SHAH ALAM, Selangor",39743,N/A,N/A,N/A,Selangor,SUNGAI BULOH,PETALING,,Bungalow,Building,Leasehold,0,"8,891.000000",826.000000,N/A,940/2018 Kaveat Pemegang Lien atas Tanah,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45536,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=0ed3a680-1e7e-49fa-91bb-63c46c9e21ba&Inline=true,,
BA-38-2346-11/2023,8d11ffe5-f093-42bc-823d-a8e66c37b314," RM 324,000.00",1,"18/03/2024, 09",1,"RM 32,400.00","Unit F-15-23, Mentari Court Apartment, Jalan PJS 8/9, Taman Seri Mentari, 46150, Petaling Jaya, Selangor",Lot. No. 1766,2830,16,M6,Selangor,Bandar Sunway,Petaling,,Apartment,Building,Leasehold,0,775.000000,72.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45802,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=b81db53c-d29b-4e17-9674-52d54ff067f4&Inline=true,,
BA-38-2352-11/2023,1031aa88-959e-4789-85bd-f3cc4abeba60," RM 500,000.00",1,"18/03/2024, 09",1,"RM 50,000.00","No. 19, Jalan Alam Suria 16/8, Taman Alam Suria, Bandar Puncak Alam, 42300, Kuala Selangor, Selangor",Lot 12919 (dahulunya dikenali sebagai PT 6284),N/A,N/A,N/A,Selangor,Jeram,Kuala Selangor,,Terrace,Building,Leasehold,"2,099","2,099.000000",195.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45538,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d99ee097-525c-448a-9c4a-48454dcdf336&Inline=true,,
WA-38-2290-11/2023,1d021101-4011-420d-8f62-ea203f86692a," RM 270,000.00",1,"18/03/2024, 09",1,"RM 27,000.00","NO. 40, JALAN DESA KUNDANG 6, TAMAN DESA KUNDANG, 48050, RAWANG, Selangor",PT 882,N/A,N/A,N/A,Selangor,BANDAR KUNDANG,GOMBAK,,Terrace,Building,Leasehold,0,"1,300.000000",120.800000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45607,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=dfdbfeae-17e5-4184-8c81-02d8d7441aa6&Inline=true,,
WA-38-2304-11/2023,21c108f3-b73b-4a5a-b16d-1937db770b77," RM 1,400,000.00",1,"18/03/2024, 09",1,"RM 140,000.00","No. 1, Jalan Bukit Mewah 50, Taman Bukit Mewah, 43000, Kajang, Selangor",Lot 36170 Seksyen 10,N/A,N/A,N/A,Selangor,Bandar Kajang,Ulu Langat,,Semi-Detached,Building,Freehold,0,"4,908.000000",456.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45462,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=6b17c184-2a9e-413f-971c-e2a20b66636a&Inline=true,,
WA-38-2309-11/2023,97028eb6-0687-40c5-aff0-2e8bae1b7046," RM 90,000.00",1,"18/03/2024, 09",1,"RM 9,000.00","No. 84-2F, 2nd Floor, Jalan Hulubalang 10, Taman Sentosa, 41200, Klang, Selangor",Lot 74125,10,3,M1,Selangor,Klang,Klang,,Apartment,Residential,Freehold,0,"1,249.000000",116.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45611,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=313ac8a4-42f4-4089-99a9-bb2654f08d84&Inline=true,,
WA-38-2310-11/2023,4e689611-3298-4d76-b005-3cc7c6a84ae2," RM 765,000.00",1,"18/03/2024, 09",1,"RM 76,500.00","NO.68, JALAN SETIA IMPIAN U13/3H,SETIA ALAM, SEKSYEN U13, 40170, SHAH ALAM, Selangor",20254 (DAHULUNYA PT 15172),N/A,N/A,N/A,Selangor,BUKIT RAJA,PETALING,,Terrace,Building,Freehold,"1,866","2,357.000000",219.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45615,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d69793c5-9b0c-4923-8c9a-b75729d510ab&Inline=true,,
WA-38-2467-12/2023,44916294-3eab-40c7-b4f8-9c3e3ec6be70," RM 256,000.00",1,"18/03/2024, 09",1,"RM 25,600.00","Unit No. 17-1A, Jalan Bandar Duabelas, Pusat Bandar Puchong, 47160, Puchong, Selangor",Lot 677,2,2,M1,Selangor,Pekan Desa Puchong,Petaling,,ShopOffice,Commercial,Freehold,0,689.000000,64.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45602,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d09c1da3-d55e-41a1-918f-afbf33853851&Inline=true,,
JB-38-10-01/2024,d2a0ec34-b662-4de5-8595-5d05acb64188," RM 80,000.00",1,"18/03/2024, 11",1,"RM 8,000.00","No.15, Jalan Putra  1/47, Bandar Putra, 85000, Segamat, Johor",Lot 15237,N/A,N/A,N/A,Johor,Sungai Segamat,Daerah Segamat,,Terrace,Building,Freehold,0,775.000000,72.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45596,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=e4fd3e18-9329-49c6-b383-53b8aab9261c&Inline=true,,
JB-38-3-01/2024,0afbdd8d-1793-4d5d-aae6-346056c7b931," RM 270,000.00",1,"18/03/2024, 11",1,"RM 27,000.00","NO. 244, JALAN SERI IMPIAN 3/9, TAMAN SERI IMPIAN, 86000, KLUANG, Johor",LOT 64187 (DAHULU DIKENALI SEBAGAI PTD 73134),N/A,N/A,N/A,Johor,KLUANG,KLUANG,,Terrace,Building,Freehold,"1,400","1,400.000000",130.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45597,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=b9022280-cf7a-4a12-a08e-46d6f5200f4f&Inline=true,,
JB-38-4-01/2024,b0c7ab2b-0c62-4c76-83ac-67738ce51fb8," RM 511,000.00",1,"18/03/2024, 11",1,"RM 51,100.00","No. 45, Jalan Plaza 1, Taman Maharani Promenade, Jalan Muar Bypass, 84000, Muar, Johor",PTD 17050,N/A,N/A,N/A,Johor,Bandar,Muar,,ShopOffice,Building,Freehold,0,"1,400.000000",130.060000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45583,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=549da552-d9d5-4f87-a193-1b093396ca78&Inline=true,,
JB-38-5-01/2024,8ec9796e-17aa-48fd-8346-b7bcce53dda5," RM 930,000.00",1,"18/03/2024, 11",1,"RM 93,000.00","No. 82, Jalan Seri Impian 5/9, Taman Seri Impian, 86000, Kluang, Johor",LOT 82856,N/A,N/A,N/A,Johor,Kluang,Kluang,,Bungalow,Building,Freehold,0,"5,996.000000",557.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45584,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=ecc862fb-07c0-4fbf-b8aa-6043cd7df484&Inline=true,,
JB-38-6-01/2024,8d64ecda-83aa-43b7-854e-8a5f7d4a23cc," RM 360,000.00",1,"18/03/2024, 11",1,"RM 36,000.00","No. 16, Jalan Putera Indah 12/19, Taman Putera Indah, 83010, Batu Pahat, Johor",PTD 25161,N/A,N/A,N/A,Johor,Linau,Batu Pahat,,Terrace,Building,Freehold,0,"1,300.000000",120.770000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45585,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=ce33fa30-f11a-485a-9140-7adc4cbd92cf&Inline=true,,
JB-38-7-01/2024,c4543a7a-7b25-45fd-a3ba-d144ac9fe1dd," RM 262,440.00",1,"18/03/2024, 11",1,"RM 26,244.00","NO. 22, JALAN 14/2, TAMAN SRI KLUANG, 86000, KLUANG, Johor",PTD 54285 / LOT 54192,N/A,N/A,N/A,Johor,KLUANG,KLUANG,,Terrace,Building,Freehold,143,"1,539.000000",143.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45586,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=cc3c1da3-2c83-40c1-9992-3b0364ff0255&Inline=true,,
JB-38-8-01/2024,c827616f-d4dd-4f0a-9fb0-f4d1228d3162," RM 249,318.00",1,"18/03/2024, 11",1,"RM 24,931.80","NO. 724,, JALAN SERI IMPIAN 6/30, TAMAN SERI IMPIAN, 86000, KLUANG, Johor",LOT 80721,N/A,N/A,N/A,Johor,KLUANG,KLUANG,,Terrace,Building,Freehold,0,"1,399.000000",130.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45587,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=8320449e-425b-4432-98b5-eb8113fb94f9&Inline=true,,
JB-38-9-01/2024,4a630489-4f63-4d70-9d79-aa9a583d6e86," RM 405,000.00",1,"18/03/2024, 11",1,"RM 40,500.00","NO. 8, JALAN SRI MUTIARA 3, TAMAN SRI MUTIARA, 83300, BATU PAHAT, Johor",LOT 50440,N/A,N/A,N/A,Johor,SIMPANG KANAN,BATU PAHAT,,Terrace,Building,Freehold,0,"1,540.000000",143.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45598,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=44da4056-ef9b-4b8a-813b-21f021bbaa7d&Inline=true,,
