0,1,2,3,4,5,6
merelit,[m«.Ò«.lit],kata adjektif,"1. berkilat dan berkilau (berkenaan logam seperti emas, aluminium tembaga)","Merelit betoi reta hang, hang pakai apa?",[m«.Ò«.lit b«.toj ÒE.tA hAN hAN pA.kAj A.pA],"Sungguh berkilat dan berkilau kereta awak, awak guna apa?"
meratuih,[m«.ÒA.tuC],kata kerja,1. meratap,Orang kata tak baek meratuih bila orang mati.,[.ÒAN kA.tA tA/ bAe/ m«.ÒA.tuC bi.lA .ÒAN mA.ti],Kata orang tidak elok meratap orang yang sudah mati.
merancang,[m«.ÒAn.tSAN],kata adjektif,1. bunyi berterusan yang disebabkan oleh geseran atau hantukkan logam,Baskat burok tu bila kayoh laju sikit mola merancang.,[bAs.kAt bu.Òo/ tu bi.lA kA.joh lA.dZu si.kit m.lA m«.ÒAn.tSAN],Basikal buruk itu apabila dikayuh laju sikit akan berbunyi.
melugai,[m«.lu.gAj],kata adjektif,1. rasa seperti hendak muntah,"Gulai ikan ruan ni hanyaq, nak makan pon melugai.",[gu.lAj i.kAn Òu.An ni hA.øA)Ö nA/ mA.kAn pon m«.lu.gAj],"Gulai ikan haruan ini hanyir, hendak makan pun rasa seperti hendak muntah."
melangut,[m«.lA.Nut],kata kerja,1. mendampingi seseorang kerana mengharapkan sesuatu,Dia ni asek melangut kat Y.B pasai nak projek.,[di.jA ni A.se/ m«.lA.Nut kAt wAj.bi pA.sAj nA/ pro.dZe/],Dia ini asyik mendampingi Y.B. sebab hendak projek.
lendet,[l«n.det],kata adjektif,1. tertib berkenaan tingkah laku,"Anak dara tu tak payah jadi menantu kita pon tak pa, tak lendet langsong.",[A.nA/ dA.ÒA tu tA/ pA.jAh dZA.di m«.nAn.tu ki.tA pon tA/ pA tA/ l«n.det lAN.soN],"Anak dara itu tidak jadi menantu kita pun tidak mengapa, tidak tertib langsung."
kerutup,[k«.Òu.tup],kata kerja,1. makan beramai-ramai hingga habis.,Sekoq kambin bakaq sat saja depa kerutup.,[se.k)Ö kAm.bin bA.kA)Ö sAt sA.dZA dE.pA k«.Òu.tup],Seekor kambing bakar sekejap saja mereka makan.
kerunaih,[k«.Òu.nAC],kata kerja,1. memetik sesuatu dengan kasar menggunakan jari.,"Pokok bunga ni baru nak tumboh, sapa pulak yang kerunaih ni.",[po.ko/ bu.NA ni bA.Òu nA/ tum.boh sA.pA pu.lA/ jAN k«.Òu.nAC ni],"Pokok bunga ini baru nak tumbuh, siapa pulak yang memetiknya."
keromot,[k«.Òo.mot],kata adjektif,"1. berkedut berkenaan kain, kertas dan lain-lain.","Awat ambek retaih keromot, tak dak retaih laen ka?",[A.wAt Am.be/ Ò«.tAC k«.Òo.mot tA/ dA/ Ò«.tAC lAen kA],"Mengapa ambil kertas berkedut, tidak ada kertas lainkah?"
kerobek,[k«.Ò.bE/],kata kerja,"1. membelek, mencari dan mengenal pasti sesuatu.",Aku tengok hang berejam-rejam dok kerobek reta tu.,[A.ku tE.No/ hAN b«.Ò«.dZAm.Ò«.dZAm do/ k«.Ò.bE/ ÒE.tA tu],Saya melihat awak berjam-jam membelek kereta itu.
kerabat,[k«.ÒA.bAt],kata kerja,"1. memanjat atau mendaki sesuatu (seperti pokok, bukit, gunung)",Cuti ni kami cadang nak kerabat Bukit Bendera.,[tSu.ti ni kA.mi tSA.dAN nA/ k«.ÒA.bAt bu.kit b«n.dE.rA],Cuti ini kami bercadang hendak mendaki Bukit Bendera.
kecar,[k«.tSA)Ö],kata kerja,1. memicit-micit kepala dengan menarik rambut untuk melegakan sakit kepala.,"Mai kecaq kepala mak sat, pasai mak saket kepala.",[mAj k«.tSA)Ö k«.pA.lA mA/ sAt pA.sAj mA/ sA.ket k«.pA.lA],"Mari picit kepala mak sabentar, sebab mak sakit kepala."
kampoi II,[kAm.poj],kata kerja,1. melakukan sesuatu bersungguh-sungguh kerana terdesak.,Dekat nak pereksa baru nak kampoi belajaq.,[d«.kAt nA/ p«.ÒE/.sA bA.Òu nA/ kAm.poj b«.lA.dZA)Ö],Dekat nak periksa baru belajar bersungguh-sungguh.
geretok,[g«.Ò«.to],kata kerja,1. mengetuk dengan buku jari atau menggunakan sesuatu benda,"Nak tidoq pon payah, hingaq bunyi tin budak dok geretok.",[nA ti.d)Ö pon pA.jAh hi.NA)Ö bu.øi tin bu.dA do g«.Ò«.to],"Nak tidur pun susah, bising bunyi tin budak sedang ketuk."
gelinte,[g«.lin.tE],kata kerja,1. membulat-bulat sesuatu dengan menggunakan dua tapak tangan.,"Biskut arab kena gelinte, tak buleh terap.",[bis.kut A.rAb k«.nA g«.lin.tE tA bu.leh t«.ÒAp],"Biskut arab kena buat bulat-bulat dengan tangan, tidak boleh terap."
gelembong,[g«.lem.boN],kata kerja,1. cakap kosong; gebang.,"Kita dengaq dia cakap buleh la, gelembong saja.",[ki.tA d«.NA)Ö di.jA tSA.kAp bu.leh lA g«.lem.boN sA.dZA],"Kita dengar dia cakap bolehlah, cakapnya sukar dipercayai."
gabuih ponggong,[gA.buC],kata kerja,1. menanggalkan kekotoran yang sedikit pada sesuatu dengan menggunakan tapak tangan atau jari secara berulang kali,Dia gabuih habok dekat baju dia.,[di.jA gA.buC hA.bo d«.kAt bA.dZu di.jA],Dia gabuih habuk di bajunya.
dogeang,[d.gE.jAN],kata adjektif,1. berkenaan dengan seseorang yang tidak lengkap perhiasannya,"Pasai tak pakai barang, pi kenduri orang kata dia dogeang.",[pA.sAj tA pA.kAj bA.ÒAN pi ÒE.nu.Òi o.ÒAN kA.tA di.jA d.gE.jAN],Sebab tidak memakai barang kemas semasa kenduri orang kata dia dogeang.
celapoi,[tS«.lA.poj],kata adjektif,1. berkenaan dengan seseorang yang bercakap lepas,"Celapoi sunggoh dia tu, patot ka dia kata kita ni kaki ampu bos.",[tS«.lA.poj suN.goh di.jA tu pA.tot kA di.jA kA.tA ki.tA ni kA.ki Am.pu bos],"Celapoi betul dia tu, adakah patut kata kita ni kaki ampu bos."
cap-cap,[tSAp.tSAp],kata adjektif,1. berkenaan dengan kuah yang sangat sedikit.,Orang buat sambai tomeh kuah cap-cap.,[.ÒAN bu.wAt sAm.bAj to.meh ku.wAh tSAp.tSAp],Orang buat sambal tumis kuahnya sedikit sahaja.
bejabu,[b«.dZA.bu],kata adjektif,1. berkenaan dengan asap yang dikeluarkan secara pantas.,"Padan la nampak bejabu, ada rumah tebakaq.",[pA.dAn lA nAm.pA/ b«.dZA.bu A.dA Òu.mAh t«.bA.kA)Ö],"Patutlah nampak bejabu, ada rumah yang terbakar."
bedengung,[b«.d«.NuN],kata adjektif,1. terlalu pedas.,Bedengung sunggoh kuah rojak tu pasai ada cabai melaka.,[b«.d«.NuN suN.goh ku.wAh Òo.dZA tu pA.sAj AdA tSA.bAj m«.lA.kA],Terlalu pedas kuah rojak itu sebab ada cili padi.
bededam,[b«.d«.dAm],kata adjektif,1. berkenaan dengan sesuatu yang banyak dan tersusun-susun; bededam-dedam.,Raya baru ni rumah dia tu kue bededam.,[ÒA.jA bA.Òu ni Òu.mAh di.jA kue b«.d«.dAm],Hari raya baru ini di rumahnya kuih bededam.
becendoi,[b«.tSEn.doj],kata kerja,1. mengekori dengan rapat ketika berjalan (berkenaan orang atau haiwan).,"Tang mana saja mak dia pi, anak dia becendoi.",[tAN mA.nA sA.dZA mA/ di.jA pi A.nA/ di.jA b«.tSEn.doj],"Di mana sahaja emaknya pergi, anaknya mengekori dengan rapat."
baloq,[bA.l)Ö],kata adjektif,1. malas,"Dia ni baloq sunggoh, reja apa pon tak siap.",[di.jA ni bA.l)Ö suN.goh Ò«.dZA A.pA pon tA si.jAp],"Dia ini sangat malas, kerja apa pun tidak siap."
tekediang,[t«.k«.di.jAN],kata adjektif,1. berkenaan dengan kepala yang tidak boleh digerakkan kerana sakit pada bahagian leher,Pasai silap bantai dia tekediang.,[pA.sAj si.lAp bAn.tAj di.jA t«.k«.di.jAN],Sebab tersilap bantal kepalanya tidak boleh bergerak.
serot rezeki,[s«.Ò)t],kata kerja,1. masukkan kepala ke dalam cangkerang berkenaan haiwan; sentot,Siput babi serot bila orang sentoh badan dia.,[si.put bA.bi s«.Ò)t bi.lA o.ÒAN s«n.toh bA.dAn di.jA],Siput babi masukkan kepalanya apabila disentuh badannya.
sereyat II,[s«.Ò«.jAt],kata adjektif,1. berkenaan dengan hujan yang telah berhenti,Lepaih sereyat baru depa balek.,[l«.pAC s«.Ò«.jAt bA.Òu dE.pA bA.le/],Selepas hujan berhenti baru mereka balik.
selopiang,[s«.l.pi.jAN],kata adjektif,1. kotor yang banyak; belopiang,Pak Den cerok ayaq dekat rebau yang selopiang.,[pA/ dEn tS«.Òo/ A.jA)Ö d«.kAt Ò«.bAw jAN s«.lo.pi.jAN],Pak Din mencurah air pada kerbau yang kotor.
perembang,[p«.Ò«m.bAN],kata kerja,1. memerhati dengan penuh minat dengan sesuatu tujuan dalam jangka masa yang agak lama,Lagi anak dara tu tak habeh sidai kaen dia dok asek perembang.,[lA.gi A.nA dA.ÒA tu tA hA.beh si.dAj kAen di.jA do A.se p«.Ò«m.bAN],Selagi anak dara itu belum selesai menyidai pakaian dia asyik perembang.
menyerama,[m«.ø«.ÒA.mA],kata kerja,1. berebut,Buboh dadah kue dalam pinggan sat gi orang menyerama.,[bu.boh dA.dAh kue dA.lAm piN.gAn sAt gi .ÒAN m«.ø«.ÒA.mA],Bubuh siap-siap kuih dalam pinggan nanti orang berebut.
menereloh,[m«.n«.Ò«.loh],kata kerja,1. tidur; mereloh,"Pi menereloh cepat dah pukoi sebelaih dah, isok nak sekolah.",[pi m«.n«.Ò«.loh tS«.pAt dAh pu.koj s«.b«.lAC dAh i.so/ nA/ s«.ko.lAh],"Cepat pergi tidur sudah pukul sebelas, besok hendak sekolah."
keloloh,[k«.l.lh],kata adjektif,1. berkenaan dengan seseorang yang tingkah lakunya kelakar.,Seronok buat reja dengan dia pasai dia keloloh.,[s«.Òo.no/ bu.wAt Ò«.dZA d«.NAn di.jA pA.sAj di.jA k«.l.lh],Seronok melakukan pekerjaan bersamanya sebab dia kelakar.
gedohoq,[g«.do.h)Ö],kata nama,"1. dapur yang dibuat dengan cara mengorek lubang di tanah, sabak.",Dulu bila nak raya baru tok pakai gedohoq bila kacau dodoi.,[du.lu bi.lA nA ÒA.jA bA.Òu to pA.kAj g«.do.h)Ö bi.lA kA.tSAw do.doj],Dahulu apabila hampir hari raya baru nenek pakai sabak untuk mengacau dodol.
besiaq,[bE.si.jA)Ö],kata adjektif,1. berkenaan dengan seseorang yang kerap membuang air kecil.,"Baru keluaq rumah dah nak kencin lagi, awat besiaq sangat.",[bA.Òu k«.lu.wA)Ö Òu.mAh dAh nA k«n.tSin lA.gi A.wAt bE.si.jA)Ö sA.NAt],"Baru keluar dari rumah sudah hendak buang air kecil lagi, mengapa besiaq sangat."
belopiang,[b«.l.pi.jAN],kata adjektif,1. kotor yang banyak; selopiang.,Budak-budak nampak belopiang lepaih balek dari sekolah.,[bu.dA.bu.dA nAm.pA b«.l.pi.jAN l«.pAC bA.le dA.Òi s«.k.lAh],Budak-budak nampak kotor selepas balik dari sekolah.
belenja,[b«.l«n.dZA],kata adjektif,1. berkenaan dengan air liur yang sentiasa keluar.,Ada benda hat aku mengidam tak dapat pasai tu anak aku belenja.,[A.dA b«n.dA hAt A.ku m«.Ni.dAm tA dA.pAt pA.sAj tu A.nA A.ku b«.l«n.dZA],Ada benda makan yang saya idamkan tidak dapat sebab itulah anak saya sentiasa keluar air liurnya
bedesiu,[b«.d«.si.ju],kata adjektif,1. terlalu pedas.,"Sambai belacan tadi bedesiu, tapi sedap.",[sAm.bAj b«.lA.tSAn tA.di b«.d«.si.ju tA.pi s«.dAp],"Sambal belacan tadi terlalu pedas, tapi sedap."
bededam-dedam,[b«.d«.dAm],kata adjektif,1. berkenaan dengan sesuatu yang banyak dan tersusun; bededam.,"Beli pinggan mahai-mahai, tapi dok bededam-dedam dalam lemari.",[b«.li piN.gAn mA.hAj.mA.hAj tA.pi do/ b«.d«.dAm dA.lAm l«.mA.Òi],"Beli pinggan mahal-mahal, tetapi bededam-dedam dalam almari."
beceretet,[b«.tS«.ÒE.tEt],kata adjektif,1. berkenaan dengan sesuatu yang banyak dan tersusun; beceratoq.,Dekat-dekat nak raya depa pasang pelita beceretet kelilin rumah.,[d«.kAt.d«.kAt nA ÒA.jA dE.pA pA.sAN p«.li.tA b«.tS«.ÒE.tEt k«.li.lin Òu.mAh],Menjelang hari raya mereka memasang banyak pelita di sekeliling rumah.
tepeleot II,[t«.p«.lE.ot],kata adjektif,1. berkenaan dengan muka yang cacat secara semulajadi atau kemalangan,Muka dia yang tepeleot dari kecik tu dah elok lepaih kena belah.,[mu.kA di.jA jAN t«.p«.lE.ot dA.Òi k«.tSi tu dAh E.l l«.pAC k«.nA b«.lAh],Mukanya yang cacat sejak kecil sudah elok selepas dibedah.
onde-onde,[on.dE.on.dE],kata nama,"1. kuih daripada tepung pulut atau ubi keledek, intinya daripada kelapa atau kacang hijau dan bergula, bersalut bijan dan digoreng (kuih bom)",,,
kelepiaq,[k«.l«.pi.jA)Ö)],kata kerja,1. mengibaskan jari.,"Habeh ayaq tangan hang kena muka aku ni, pi la kelepiaq jaoh sikit.",[hA.beh A.jA)Ö tA.NAn hAN k«.nA mu.kA A.ku ni pi lA k«.l«.pi.jA)Ö dZAoh si.kit],"Habis air tangan kena muka saya ni, pergilah kibas jari jauh sikit."
hap-hap,[hA)p.hA)p],kata adjektif,"1. berkenaan dengan seseorang atau haiwan yang sesak nafas (nazak, semput, penat, lelah dan lain-lain)",Orang kalu silap makan la-la tu dia buleh hap-hap.,[o.ÒAN kA.lu si.lAp mA.kAn lA.lA tu di.jA bu.leh hA)p.hA)p],Orang kalau tersilap makan pada masa itu juga boleh sesak nafas.
gelambiaq,[g«.lAm.bi.jA)Ö],kata adjektif,1. berkenaan dengan pakaian yang besar dan terbuai-buai,"Mak beli baju tu tak kena, nampak gelambiaq bila adek pakai.",[mA b«.li bA.dZu tu tA k«.nA nAm.pA g«.lAm.bi.jA)Ö bi.lA A.de pA.kAj],"Mak beli baju itu tidak kena, nampak besar bila adik pakai."
beceratoq,[b«.tS«.ÒA.to)Ö],kata adjektif,1. berkenaan dengan sesuatu yang banyak dan tersusun; beceretet.,Di rumah kak aku pehiasan kaca beceratoq dalam lemari.,[di Òu.mAh kA A.ku p«.hi.jA.sAn kA.tSA b«.tS«.ÒA.to)Ö dA.lAm lE.mA.Òi],Di rumah kakak saya perhiasan kaca tersusun di dalam almari.
acan-acan maen,[A.tSAn.A.tSAn mAen],1. mempermain-mainkan arahan atau nasihat orang lain; tegege-gege.,Orang dok bagi nasihat dia buat acan-acan maen pulak.,[.ÒAN do/ bA.gi nA.si.hAt di.jA bu.wAt A.tSAn.A.tSAn mAen pu.lA/],"Saya memberinya nasihat, dia mempermain-mainkan pula.",
beberan-beran,[b«.b«.ÒAn.b«.ÒAn],kata adjektif,1. berkenaan dengan seseorang yang memakai barang kemas atau aksesori yang berlebih-lebihan.,Kalu dah kaya pon tak payah pakai barang sampai beberan-beran.,[kA.lu dAh kA.jA pon tA/ pA.jAh pA.kAj bA.ÒAN sAm.pAj b«.b«.ÒAn.b«.ÒAn],Kalau kaya sekalipun tidak perlu mengenakan barang kemas berlebih-lebihan.
ketoi,[k«.toj],kata nama,wang dalam nilai ringgit sebanyak 1 hingga 10 sahaja.,Raya ni aku bagi sorang dua ketoi saja duet raya kat anak menakan aku.,[ÒA.jA ni A.ku bA.gi s.ÒAN du.wA k«.toj sA.dZA du.wet ÒA.jA kAt A.nA/ m«.nA.kAn A.ku],Raya ini saya bagi seorang dua ringgit saja duit raya kepasa anak saudara saya.
herot-petot,[hE.Òt.pE.tt],kata adjektif,1. berkenaan dengan sesuatu yang bengkang bengkok,"Buat pagaq herot-petot, kambin pon buleh masok.",[bu.wAt pA.gA)Ö hE.Òt.pE.tt kAm.bin pon bu.leh mA.so],"Buat pagar bengkang bengkok, kambing pun boleh masuk."
